
Host: WX400847

Timers On : Thu Apr 30 10:42:18 2026
Timers Off: Thu Apr 30 10:42:25 2026

Wall Time:        6.97 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: WX400847

Timers On : Thu Apr 30 10:42:54 2026
Timers Off: Thu Apr 30 10:46:25 2026

Wall Time:      211.86 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      3.334w     31 calls
build grid                          :      0.000u      0.000s      2.403w     31 calls
post-process grid                   :      0.000u      0.000s      0.926w     31 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.379w     31 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.958w    213 calls
DFH: initialize()                   :      0.000u      0.000s      1.696w     31 calls
DFH: AO Construction                :      0.000u      0.000s      0.653w     31 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.154w     31 calls
HF: Form core H                     :      0.000u      0.000s      0.365w     31 calls
HF: Form S/X                        :      0.000u      0.000s      0.019w     31 calls
HF: Guess                           :      0.000u      0.000s      2.667w     31 calls
SAD Guess                           :      0.000u      0.000s      2.591w     31 calls
HF: Form G                          :      0.000u      0.000s    113.350w    394 calls
RV: Form V                          :      0.000u      0.000s    113.172w    395 calls
Properties                          :      0.000u      0.000s     25.048w 436886 calls
Functional                          :      0.000u      0.000s     83.622w 436886 calls
V_xc                                :      0.000u      0.000s     17.778w 406045 calls
JK: D                               :      0.000u      0.000s      0.003w    395 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w    395 calls
JK: JK                              :      0.000u      0.000s      0.600w    395 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.597w    395 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    395 calls
DFH: compute_J                      :      0.000u      0.000s      0.216w    395 calls
DFH: compute_K                      :      0.000u      0.000s      0.347w    395 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    395 calls
HF: Form F                          :      0.000u      0.000s      0.005w    394 calls
HF: Form D                          :      0.000u      0.000s      0.003w    394 calls
HF: DIIS                            :      0.000u      0.000s      2.954w    363 calls
HF: Form C                          :      0.000u      0.000s      0.292w    363 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.055w     30 calls
Grad: S                             :      0.000u      0.000s      0.011w     30 calls
Grad: JK                            :      0.000u      0.000s      4.610w     30 calls
JKGrad: Amn                         :      0.000u      0.000s      1.068w     30 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w     30 calls
JKGrad: AB                          :      0.000u      0.000s      0.481w     30 calls
JKGrad: UV                          :      0.000u      0.000s      0.023w     30 calls
JKGrad: ABx                         :      0.000u      0.000s      0.219w     30 calls
JKGrad: Amnx                        :      0.000u      0.000s      2.155w     30 calls
Grad: XC                            :      0.000u      0.000s     18.176w     30 calls
V_xc gradient                       :      0.000u      0.000s      3.914w  30841 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      3.334w     31 calls
| build grid                        :      0.000u      0.000s      2.403w     31 calls
| post-process grid                 :      0.000u      0.000s      0.926w     31 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.379w     31 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.274w     31 calls
DFH: initialize()                   :      0.000u      0.000s      1.696w     31 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.232w     62 calls
| DFH: AO Construction              :      0.000u      0.000s      0.653w     31 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.154w     31 calls
HF: Form core H                     :      0.000u      0.000s      0.365w     31 calls
HF: Form S/X                        :      0.000u      0.000s      0.019w     31 calls
HF: Guess                           :      0.000u      0.000s      2.667w     31 calls
| SAD Guess                         :      0.000u      0.000s      2.591w     31 calls
HF: Form G                          :      0.000u      0.000s    113.350w    395 calls
| RV: Form V                        :      0.000u      0.000s    113.172w    395 calls
| | Properties                      :      0.000u      0.000s     16.483w 406045 calls
| | Functional                      :      0.000u      0.000s     78.039w 406045 calls
| | V_xc                            :      0.000u      0.000s     17.778w 406045 calls
| JK: D                             :      0.000u      0.000s      0.003w    395 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w    395 calls
| JK: JK                            :      0.000u      0.000s      0.600w    395 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.597w    395 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    395 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.216w    395 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.347w    395 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    395 calls
HF: Form F                          :      0.000u      0.000s      0.005w    394 calls
HF: Form D                          :      0.000u      0.000s      0.003w    394 calls
HF: DIIS                            :      0.000u      0.000s      2.954w    363 calls
HF: Form C                          :      0.000u      0.000s      0.292w    363 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.055w     30 calls
Grad: S                             :      0.000u      0.000s      0.011w     30 calls
Grad: JK                            :      0.000u      0.000s      4.610w     30 calls
| JKGrad: Amn                       :      0.000u      0.000s      1.068w     30 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.217w     30 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w     30 calls
| JKGrad: AB                        :      0.000u      0.000s      0.481w     30 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.002w     30 calls
| JKGrad: UV                        :      0.000u      0.000s      0.023w     30 calls
| JKGrad: ABx                       :      0.000u      0.000s      0.219w     30 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.002w     30 calls
| JKGrad: Amnx                      :      0.000u      0.000s      2.155w     30 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.232w     30 calls
Grad: XC                            :      0.000u      0.000s     18.176w     30 calls
| Properties                        :      0.000u      0.000s      8.565w  30841 calls
| Functional                        :      0.000u      0.000s      5.584w  30841 calls
| V_xc gradient                     :      0.000u      0.000s      3.914w  30841 calls

**************************************************************************************

Host: WX400847

Timers On : Thu Apr 30 11:55:40 2026
Timers Off: Thu Apr 30 11:57:00 2026

Wall Time:       79.81 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      1.291w     37 calls
build grid                          :      0.000u      0.000s      0.755w     37 calls
post-process grid                   :      0.000u      0.000s      0.531w     37 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.261w     37 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.582w    259 calls
DFH: initialize()                   :      0.000u      0.000s      0.752w     37 calls
DFH: AO Construction                :      0.000u      0.000s      0.091w     37 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.014w     37 calls
HF: Form core H                     :      0.000u      0.000s      0.344w     37 calls
HF: Form S/X                        :      0.000u      0.000s      0.013w     37 calls
HF: Guess                           :      0.000u      0.000s      1.729w     37 calls
SAD Guess                           :      0.000u      0.000s      1.641w     37 calls
HF: Form G                          :      0.000u      0.000s     42.197w    335 calls
RV: Form V                          :      0.000u      0.000s     42.101w    335 calls
Properties                          :      0.000u      0.000s      6.735w 207147 calls
Functional                          :      0.000u      0.000s     37.583w 207147 calls
V_xc                                :      0.000u      0.000s      3.882w 186543 calls
JK: D                               :      0.000u      0.000s      0.002w    335 calls
JK: USO2AO                          :      0.000u      0.000s      0.004w    335 calls
JK: JK                              :      0.000u      0.000s      0.053w    335 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.052w    335 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    335 calls
DFH: compute_J                      :      0.000u      0.000s      0.023w    335 calls
DFH: compute_K                      :      0.000u      0.000s      0.025w    335 calls
JK: AO2USO                          :      0.000u      0.000s      0.002w    335 calls
HF: Form F                          :      0.000u      0.000s      0.003w    335 calls
HF: Form D                          :      0.000u      0.000s      0.002w    335 calls
HF: DIIS                            :      0.000u      0.000s      2.465w    298 calls
HF: Form C                          :      0.000u      0.000s      0.194w    298 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.015w     37 calls
Grad: S                             :      0.000u      0.000s      0.004w     37 calls
Grad: JK                            :      0.000u      0.000s      2.128w     37 calls
JKGrad: Amn                         :      0.000u      0.000s      0.436w     37 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w     37 calls
JKGrad: AB                          :      0.000u      0.000s      0.266w     37 calls
JKGrad: UV                          :      0.000u      0.000s      0.010w     37 calls
JKGrad: ABx                         :      0.000u      0.000s      0.101w     37 calls
JKGrad: Amnx                        :      0.000u      0.000s      0.539w     37 calls
Grad: XC                            :      0.000u      0.000s      7.662w     37 calls
V_xc gradient                       :      0.000u      0.000s      1.147w  20604 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      1.291w     37 calls
| build grid                        :      0.000u      0.000s      0.755w     37 calls
| post-process grid                 :      0.000u      0.000s      0.531w     37 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.261w     37 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.165w     37 calls
DFH: initialize()                   :      0.000u      0.000s      0.752w     37 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.123w     74 calls
| DFH: AO Construction              :      0.000u      0.000s      0.091w     37 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.014w     37 calls
HF: Form core H                     :      0.000u      0.000s      0.344w     37 calls
HF: Form S/X                        :      0.000u      0.000s      0.013w     37 calls
HF: Guess                           :      0.000u      0.000s      1.729w     37 calls
| SAD Guess                         :      0.000u      0.000s      1.641w     37 calls
HF: Form G                          :      0.000u      0.000s     42.197w    335 calls
| RV: Form V                        :      0.000u      0.000s     42.101w    335 calls
| | Properties                      :      0.000u      0.000s      3.950w 186543 calls
| | Functional                      :      0.000u      0.000s     33.939w 186543 calls
| | V_xc                            :      0.000u      0.000s      3.882w 186543 calls
| JK: D                             :      0.000u      0.000s      0.002w    335 calls
| JK: USO2AO                        :      0.000u      0.000s      0.004w    335 calls
| JK: JK                            :      0.000u      0.000s      0.053w    335 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.052w    335 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    335 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.023w    335 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.025w    335 calls
| JK: AO2USO                        :      0.000u      0.000s      0.002w    335 calls
HF: Form F                          :      0.000u      0.000s      0.003w    335 calls
HF: Form D                          :      0.000u      0.000s      0.002w    335 calls
HF: DIIS                            :      0.000u      0.000s      2.465w    298 calls
HF: Form C                          :      0.000u      0.000s      0.194w    298 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.015w     37 calls
Grad: S                             :      0.000u      0.000s      0.004w     37 calls
Grad: JK                            :      0.000u      0.000s      2.128w     37 calls
| JKGrad: Amn                       :      0.000u      0.000s      0.436w     37 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.126w     37 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w     37 calls
| JKGrad: AB                        :      0.000u      0.000s      0.266w     37 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w     37 calls
| JKGrad: UV                        :      0.000u      0.000s      0.010w     37 calls
| JKGrad: ABx                       :      0.000u      0.000s      0.101w     37 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.002w     37 calls
| JKGrad: Amnx                      :      0.000u      0.000s      0.539w     37 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.165w     37 calls
Grad: XC                            :      0.000u      0.000s      7.662w     37 calls
| Properties                        :      0.000u      0.000s      2.785w  20604 calls
| Functional                        :      0.000u      0.000s      3.644w  20604 calls
| V_xc gradient                     :      0.000u      0.000s      1.147w  20604 calls

**************************************************************************************
